site,ind,mtemp,L1,deltaL_obs,deltaT
LCR_res,96,-0.723661557,19.2,5.2,1.063013699
LCR_res,96,-0.907003436,24.4,1.6,1.520547945
LCR_res,97,1.009817508,17.5,3.7,0.44109589
LCR_res,98,1.230240258,22.3,0.9,0.35890411
LCR_res,99,1.224545567,23.6,1,0.369863014
LCR_res,99,-0.200322907,24.6,-0.2,0.076712329
LCR_res,100,1.225907335,21,2,0.367123288
LCR_res,100,-0.200322907,23,-0.2,0.076712329
LCR_res,101,1.217170185,30.6,0,0.378082192
LCR_res,102,-0.790356231,14.6,8.4,2.663013699
LCR_res,103,-0.782136896,17.8,4.4,0.994520548
LCR_res,103,-0.45768907,22.2,1.8,1.084931507
LCR_res,104,1.225907335,25.1,0.3,0.367123288
LCR_res,105,-1.885910003,15.5,2.6,0.657534247
LCR_res,105,1.366801185,18.1,2.7,0.339726027
LCR_res,105,-1.275688032,20.8,1.1,0.715068493
LCR_res,105,1.444458618,21.9,1.5,0.284931507
LCR_res,105,-1.478100226,23.4,0.1,0.589041096
LCR_res,105,1.212768786,23.5,2.5,0.471232877
LCR_res,106,-1.92143135,28.1,0.4,0.646575342
LCR_res,106,-0.462507654,28.5,2.1,1.945205479
LCR_res,106,-0.407543844,30.6,2.9,3.071232877
LCR_res,106,-0.386544384,33.5,2.3,2.931506849
LCR_res,106,-0.547795941,35.8,0.9,3.016438356
LCR_res,106,-0.189329766,36.7,1.2,1.068493151
LCR_res,107,-0.602317186,14.7,12.8,5.676712329
LCR_res,108,1.224545567,24.9,0.7,0.369863014
LCR_res,109,-0.202295954,13.7,0.1,0.073972603
LCR_res,110,-0.76905824,19,4.2,1.002739726
LCR_res,111,-0.209462901,14.2,0.4,0.071232877
LCR_res,111,-0.017545452,14.6,-0.1,0.002739726
LCR_res,112,1.224545567,12.2,2.4,0.369863014
LCR_res,113,-0.209462901,13.5,0.1,0.071232877
LCR_res,113,-0.082647387,13.6,0,0.005479452
LCR_res,114,1.009817508,16,3.4,0.44109589
LCR_res,115,-0.202295954,14.3,0.2,0.073972603
LCR_res,116,1.232511384,12.1,4.7,0.356164384
LCR_res,116,-0.985723407,16.8,7.6,1.712328767
LCR_res,116,-0.444852509,24.4,9.1,5.879452055
LCR_res,117,0.838485196,18.2,0,0.005479452
LCR_res,118,1.227070312,21.5,2,0.364383562
LCR_res,118,-0.24425326,23.5,-0.4,0.076712329
LCR_res,118,-1.08636776,23.1,4.5,1.55890411
LCR_res,118,0.27764394,27.6,0.5,0.071232877
LCR_res,119,-0.24425326,22.5,-0.3,0.076712329
LCR_res,119,-0.768471332,22.2,4.4,0.980821918
LCR_res,120,1.222957932,11.5,3.4,0.37260274
LCR_res,121,1.227070312,18,2.5,0.364383562
LCR_res,122,-0.24425326,17.1,-0.3,0.076712329
LCR_res,122,-0.330582594,16.8,-0.1,0.005479452
LCR_res,122,-2.124537474,16.7,2.3,0.575342466
LCR_res,122,1.372713117,19,3.3,0.339726027
LCR_res,122,0.094963622,22.3,0,0.079452055
LCR_res,122,-1.692484719,22.3,1.1,0.556164384
LCR_res,122,0.239738586,23.4,0.2,0.073972603
LCR_res,122,0.595271229,23.6,-0.1,0.005479452
LCR_res,123,-1.056687895,25.3,2.2,1.621917808
LCR_res,124,0.22650033,20.4,-0.3,0.005479452
LCR_res,124,-0.280236111,20.1,0.4,0.071232877
LCR_res,124,-0.085682365,20.5,0.1,0.002739726
LCR_res,124,-0.57485841,20.6,0.1,0.002739726
LCR_res,125,1.227070312,12.2,3,0.364383562
LCR_res,125,0.22650033,15.2,0.3,0.005479452
LCR_res,126,0.667066057,21.4,-0.3,0.002739726
LCR_res,126,-0.211054285,21.1,1.4,0.002739726
LCR_res,127,-0.24425326,15.2,0.1,0.076712329
LCR_res,128,1.224297846,18.8,1.7,0.369863014
LCR_res,129,1.228561349,11.1,4.5,0.361643836
LCR_res,129,-1.68958597,15.6,2.1,0.712328767
LCR_res,129,1.493383745,17.7,3.3,0.287671233
LCR_res,129,-0.505500626,21,3.8,0.997260274
LCR_res,129,-1.476243321,24.8,0.4,0.589041096
LCR_res,129,-0.486914979,25.2,2.9,1
LCR_res,129,0.724332187,28.1,1,0.18630137
LCR_res,129,-0.598643666,29.1,0.9,0.794520548
LCR_res,129,0.071950817,30,-0.2,0.008219178
LCR_res,129,-0.16893064,29.8,-0.2,0.084931507
LCR_res,130,1.227070312,15.9,2.6,0.364383562
LCR_res,130,-1.717655648,18.5,2.1,0.706849315
LCR_res,131,-0.238740259,27.6,-0.3,0.079452055
LCR_res,132,1.032279911,24,-0.3,0.002739726
LCR_res,132,1.228561349,23.7,1.8,0.361643836
LCR_res,132,-0.778666787,25.5,1.2,0.997260274
LCR_res,132,0.090804981,26.7,0.7,0.076712329
LCR_res,132,-1.449185238,27.4,0.1,0.635616438
LCR_res,133,0.072295171,17.5,1.5,0.071232877
LCR_res,133,0.983978848,19,0.2,0.005479452
LCR_res,133,1.230802315,19.2,3,0.35890411
LCR_res,134,1.230802315,27.1,0.7,0.35890411
LCR_res,134,-0.24425326,27.8,0,0.076712329
LCR_res,135,1.227070312,22.2,1.8,0.364383562
LCR_res,135,-0.773927774,24,3.2,1
LCR_res,136,1.227070312,29,1,0.364383562
LCR_res,137,0.072295171,23,0.5,0.071232877
LCR_res,137,1.032279911,23.5,-0.6,0.002739726
LCR_res,137,1.228561349,22.9,1.5,0.361643836
LCR_res,137,-0.24425326,24.4,-0.6,0.076712329
LCR_res,138,0.983978848,27.5,-0.3,0.005479452
LCR_res,138,1.230802315,27.2,1.7,0.35890411
LCR_res,139,0.22650033,27.5,0,0.005479452
LCR_res,140,-0.769659143,25.2,2.8,1.002739726
LCR_res,140,0.025708066,28,0.5,0.068493151
LCR_res,141,1.227070312,24.5,1.1,0.364383562
LCR_res,141,-1.68958597,25.6,0.4,0.712328767
LCR_res,141,-0.485801431,26,2.8,1
LCR_res,141,1.058683225,28.8,0.9,0.380821918
LCR_res,142,1.228561349,18.7,2.7,0.361643836
LCR_res,142,-1.890202649,21.4,1,0.657534247
LCR_res,142,0.659514404,22.4,0.3,0.052054795
LCR_res,142,1.501627658,22.7,2.3,0.287671233
LCR_res,142,0.090804981,25,0,0.076712329
LCR_res,143,-0.24425326,20.7,-0.2,0.076712329
LCR_res,144,1.227070312,18.2,2,0.364383562
LCR_res,144,-0.24425326,20.2,-0.4,0.076712329
LCR_res,145,-0.991606591,19,3.6,1.706849315
LCR_res,146,-0.24425326,13.2,0,0.076712329
LCR_res,146,-0.817950389,13.2,4.4,0.923287671
LCR_res,147,-0.716674402,20.5,12,3.663013699
LCR_res,148,1.227070312,12.7,4.1,0.364383562
LCR_res,149,-1.703163762,19.5,3,0.709589041
