ch_col1,ch_col2,ch_col3,ch_col4,ch_col5,ch_col6,ch_col7,ch_col8,ch_col9,ch_col10,ch_col11,ch_col12,ch_col13,ch_col14,ch_col15,ch_col16,ch_col17,ch_col18,ch_col19,sumf,suml,fr,newtag
10,10,10,10,10,10,10,3,10,10,10,4,10,10,10,10,10,10,10,8,12,1,0
10,10,10,10,10,10,10,3,10,10,10,10,9,10,10,10,10,10,10,8,19,1,0
10,10,10,10,10,10,10,3,10,10,10,10,10,10,10,10,10,10,10,8,19,15,0
10,10,10,10,10,10,10,4,10,10,9,10,10,9,10,10,9,10,9,8,19,1,0
10,10,10,10,10,10,10,4,10,10,10,10,10,10,10,10,10,10,10,8,19,5,0
10,10,10,10,10,10,10,10,1,5,10,10,10,10,10,10,10,10,10,9,10,1,0
10,10,10,10,10,10,10,10,1,9,6,10,10,10,10,10,10,10,10,9,11,2,0
10,10,10,10,10,10,10,10,1,9,9,10,6,10,10,10,10,10,10,9,13,1,0
10,10,10,10,10,10,10,10,1,9,9,10,9,9,9,10,9,10,9,9,19,1,0
10,10,10,10,10,10,10,10,1,9,10,10,9,9,10,10,10,10,10,9,19,1,0
10,10,10,10,10,10,10,10,1,9,10,10,10,10,10,10,10,10,10,9,19,1,0
10,10,10,10,10,10,10,10,1,10,9,10,10,9,10,9,10,10,10,9,19,1,0
10,10,10,10,10,10,10,10,1,10,10,10,9,10,10,10,9,10,10,9,19,1,0
10,10,10,10,10,10,10,10,1,10,10,10,10,10,10,10,10,10,10,9,19,1,0
10,10,10,10,10,10,10,10,2,3,10,10,10,10,10,10,10,10,10,9,10,1,0
10,10,10,10,10,10,10,10,2,6,10,10,10,10,10,10,10,10,10,9,10,8,0
10,10,10,10,10,10,10,10,2,9,2,10,10,10,10,10,10,10,10,9,11,1,0
10,10,10,10,10,10,10,10,2,9,9,2,10,10,10,10,10,10,10,9,12,4,0
10,10,10,10,10,10,10,10,2,9,9,10,9,7,10,10,10,10,10,9,14,1,0
10,10,10,10,10,10,10,10,2,9,9,10,10,10,10,10,10,10,9,9,19,2,0
10,10,10,10,10,10,10,10,2,9,9,10,10,10,10,10,10,10,10,9,19,1,0
10,10,10,10,10,10,10,10,2,9,10,10,9,10,2,10,10,10,10,9,15,1,0
10,10,10,10,10,10,10,10,2,9,10,10,9,10,9,9,10,10,10,9,19,1,0
10,10,10,10,10,10,10,10,2,9,10,10,9,10,10,10,9,10,10,9,19,1,0
10,10,10,10,10,10,10,10,2,9,10,10,10,10,10,10,10,9,10,9,19,1,0
10,10,10,10,10,10,10,10,2,9,10,10,10,10,10,10,10,10,10,9,19,7,0
10,10,10,10,10,10,10,10,2,10,2,10,10,10,10,10,10,10,10,9,11,1,0
10,10,10,10,10,10,10,10,2,10,9,3,10,10,10,10,10,10,10,9,12,1,0
10,10,10,10,10,10,10,10,2,10,9,10,10,9,10,10,10,10,9,9,19,1,0
10,10,10,10,10,10,10,10,2,10,9,10,10,10,10,10,10,10,10,9,19,1,0
10,10,10,10,10,10,10,10,2,10,10,2,10,10,10,10,10,10,10,9,12,1,0
10,10,10,10,10,10,10,10,2,10,10,10,10,9,10,10,10,9,10,9,19,1,0
10,10,10,10,10,10,10,10,2,10,10,10,10,10,10,10,10,10,10,9,19,9,0
10,10,10,10,10,10,10,10,3,3,10,10,10,10,10,10,10,10,10,9,10,1,0
10,10,10,10,10,10,10,10,3,4,10,10,10,10,10,10,10,10,10,9,10,1,0
10,10,10,10,10,10,10,10,3,7,10,10,10,10,10,10,10,10,10,9,10,5,0
10,10,10,10,10,10,10,10,3,9,7,10,10,10,10,10,10,10,10,9,11,2,0
10,10,10,10,10,10,10,10,3,9,9,3,10,10,10,10,10,10,10,9,12,4,0
10,10,10,10,10,10,10,10,3,9,9,4,10,10,10,10,10,10,10,9,12,1,0
10,10,10,10,10,10,10,10,3,9,9,10,10,9,10,10,9,10,10,9,19,1,0
10,10,10,10,10,10,10,10,3,9,9,10,10,10,10,10,10,9,10,9,19,1,0
10,10,10,10,10,10,10,10,3,9,10,10,9,9,9,9,9,10,10,9,19,1,0
10,10,10,10,10,10,10,10,3,9,10,10,9,9,10,10,9,10,10,9,19,1,0
10,10,10,10,10,10,10,10,3,9,10,10,9,10,10,10,10,10,10,9,19,1,0
10,10,10,10,10,10,10,10,3,9,10,10,10,10,9,10,9,10,9,9,19,1,0
10,10,10,10,10,10,10,10,3,9,10,10,10,10,9,10,10,10,10,9,19,1,0
10,10,10,10,10,10,10,10,3,9,10,10,10,10,10,10,10,10,10,9,19,2,0
10,10,10,10,10,10,10,10,3,10,8,10,10,10,10,10,10,10,10,9,11,1,0
10,10,10,10,10,10,10,10,3,10,9,3,10,10,10,10,10,10,10,9,12,1,0
10,10,10,10,10,10,10,10,3,10,9,10,9,10,9,10,10,10,10,9,19,1,0
10,10,10,10,10,10,10,10,3,10,10,10,3,10,10,10,10,10,10,9,13,1,0
10,10,10,10,10,10,10,10,3,10,10,10,9,10,10,10,9,10,10,9,19,1,0
10,10,10,10,10,10,10,10,3,10,10,10,10,9,10,10,9,10,10,9,19,1,0
10,10,10,10,10,10,10,10,3,10,10,10,10,10,9,10,10,9,9,9,19,1,0
10,10,10,10,10,10,10,10,3,10,10,10,10,10,10,10,10,10,9,9,19,1,0
10,10,10,10,10,10,10,10,3,10,10,10,10,10,10,10,10,10,10,9,19,13,0
10,10,10,10,10,10,10,10,4,9,9,4,10,10,10,10,10,10,10,9,12,3,0
10,10,10,10,10,10,10,10,4,9,9,10,10,9,10,10,9,4,10,9,18,1,0
10,10,10,10,10,10,10,10,4,9,9,10,10,10,10,10,10,9,9,9,19,1,0
10,10,10,10,10,10,10,10,4,9,10,4,10,10,10,10,10,10,10,9,12,1,0
10,10,10,10,10,10,10,10,4,9,10,10,9,9,9,10,10,10,10,9,19,1,0
10,10,10,10,10,10,10,10,4,9,10,10,9,10,4,10,10,10,10,9,15,1,0
10,10,10,10,10,10,10,10,4,9,10,10,10,10,10,10,10,10,10,9,19,1,0
10,10,10,10,10,10,10,10,4,10,8,10,10,10,10,10,10,10,10,9,11,1,0
10,10,10,10,10,10,10,10,4,10,9,10,10,10,9,10,10,10,10,9,19,1,0
10,10,10,10,10,10,10,10,4,10,9,10,10,10,10,10,10,9,10,9,19,1,0
10,10,10,10,10,10,10,10,4,10,9,10,10,10,10,10,10,10,10,9,19,2,0
10,10,10,10,10,10,10,10,4,10,10,10,9,4,10,10,10,10,10,9,14,1,0
10,10,10,10,10,10,10,10,4,10,10,10,10,9,10,10,10,10,10,9,19,1,0
10,10,10,10,10,10,10,10,4,10,10,10,10,10,9,9,10,10,9,9,19,1,0
10,10,10,10,10,10,10,10,4,10,10,10,10,10,10,10,9,9,9,9,19,1,0
10,10,10,10,10,10,10,10,4,10,10,10,10,10,10,10,10,10,10,9,19,1,0
10,10,10,10,10,10,10,10,10,1,2,10,10,10,10,10,10,10,10,10,11,1,0
10,10,10,10,10,10,10,10,10,1,6,10,10,10,10,10,10,10,10,10,11,1,0
10,10,10,10,10,10,10,10,10,1,9,2,10,10,10,10,10,10,10,10,12,1,0
10,10,10,10,10,10,10,10,10,1,9,10,9,10,9,10,10,10,10,10,19,1,0
10,10,10,10,10,10,10,10,10,1,9,10,10,9,10,9,9,10,10,10,19,1,0
10,10,10,10,10,10,10,10,10,1,9,10,10,10,6,10,10,10,10,10,15,1,0
10,10,10,10,10,10,10,10,10,1,9,10,10,10,9,9,9,10,10,10,19,1,0
10,10,10,10,10,10,10,10,10,1,9,10,10,10,10,9,10,9,10,10,19,1,0
10,10,10,10,10,10,10,10,10,1,10,10,9,10,10,10,9,10,10,10,19,1,0
10,10,10,10,10,10,10,10,10,1,10,10,10,10,9,10,9,10,4,10,19,1,0
10,10,10,10,10,10,10,10,10,1,10,10,10,10,9,10,10,10,10,10,19,1,0
10,10,10,10,10,10,10,10,10,1,10,10,10,10,10,10,10,10,10,10,19,4,0
10,10,10,10,10,10,10,10,10,2,2,10,10,10,10,10,10,10,10,10,11,3,0
10,10,10,10,10,10,10,10,10,2,6,10,10,10,10,10,10,10,10,10,11,4,0
10,10,10,10,10,10,10,10,10,2,9,2,10,10,10,10,10,10,10,10,12,1,0
10,10,10,10,10,10,10,10,10,2,9,10,3,10,10,10,10,10,10,10,13,1,0
10,10,10,10,10,10,10,10,10,2,9,10,9,7,10,10,10,10,10,10,14,1,0
10,10,10,10,10,10,10,10,10,2,9,10,9,9,10,10,10,9,9,10,19,1,0
10,10,10,10,10,10,10,10,10,2,9,10,9,10,10,10,10,10,10,10,19,2,0
10,10,10,10,10,10,10,10,10,2,9,10,10,9,10,9,9,10,10,10,19,1,0
10,10,10,10,10,10,10,10,10,2,9,10,10,9,10,10,10,10,10,10,19,1,0
10,10,10,10,10,10,10,10,10,2,9,10,10,10,9,9,9,9,3,10,19,1,0
10,10,10,10,10,10,10,10,10,2,9,10,10,10,9,10,9,9,10,10,19,1,0
10,10,10,10,10,10,10,10,10,2,9,10,10,10,9,10,10,10,10,10,19,1,0
10,10,10,10,10,10,10,10,10,2,9,10,10,10,10,10,10,10,10,10,19,3,0
10,10,10,10,10,10,10,10,10,2,10,2,10,10,10,10,10,10,10,10,12,1,0
10,10,10,10,10,10,10,10,10,2,10,3,10,10,10,10,10,10,10,10,12,1,0
10,10,10,10,10,10,10,10,10,2,10,10,3,10,10,10,10,10,10,10,13,1,0
10,10,10,10,10,10,10,10,10,2,10,10,9,9,9,10,10,9,10,10,19,1,0
10,10,10,10,10,10,10,10,10,2,10,10,9,9,9,10,10,10,10,10,19,2,0
10,10,10,10,10,10,10,10,10,2,10,10,10,6,10,10,10,10,10,10,14,1,0
10,10,10,10,10,10,10,10,10,2,10,10,10,10,9,10,9,10,10,10,19,1,0
10,10,10,10,10,10,10,10,10,2,10,10,10,10,9,10,10,10,10,10,19,1,0
10,10,10,10,10,10,10,10,10,2,10,10,10,10,10,10,10,9,10,10,19,1,0
10,10,10,10,10,10,10,10,10,2,10,10,10,10,10,10,10,10,9,10,19,1,0
10,10,10,10,10,10,10,10,10,2,10,10,10,10,10,10,10,10,10,10,19,11,0
10,10,10,10,10,10,10,10,10,3,7,10,10,10,10,10,10,10,10,10,11,2,0
10,10,10,10,10,10,10,10,10,3,9,3,10,10,10,10,10,10,10,10,12,1,0
10,10,10,10,10,10,10,10,10,3,9,10,9,9,9,10,10,9,10,10,19,1,0
10,10,10,10,10,10,10,10,10,3,9,10,10,9,9,10,10,9,9,10,19,1,0
10,10,10,10,10,10,10,10,10,3,9,10,10,10,10,10,9,10,10,10,19,1,0
10,10,10,10,10,10,10,10,10,3,10,10,9,9,10,10,10,10,10,10,19,1,0
10,10,10,10,10,10,10,10,10,3,10,10,10,9,3,10,10,10,10,10,15,1,0
10,10,10,10,10,10,10,10,10,3,10,10,10,9,10,10,10,10,10,10,19,1,0
10,10,10,10,10,10,10,10,10,3,10,10,10,10,10,10,9,10,9,10,19,1,0
10,10,10,10,10,10,10,10,10,3,10,10,10,10,10,10,10,10,10,10,19,9,0
10,10,10,10,10,10,10,10,10,4,4,10,10,10,10,10,10,10,10,10,11,1,0
10,10,10,10,10,10,10,10,10,4,9,10,9,10,9,9,10,9,9,10,19,1,0
10,10,10,10,10,10,10,10,10,4,9,10,10,9,10,10,10,8,10,10,18,1,0
10,10,10,10,10,10,10,10,10,4,9,10,10,10,10,10,10,10,10,10,19,1,0
10,10,10,10,10,10,10,10,10,4,10,10,9,10,9,10,10,10,10,10,19,1,0
10,10,10,10,10,10,10,10,10,4,10,10,9,10,10,9,10,10,10,10,19,1,0
10,10,10,10,10,10,10,10,10,4,10,10,10,10,10,10,10,10,10,10,19,1,0
10,10,10,10,10,10,10,10,10,10,1,1,10,10,10,10,10,10,10,11,12,1,0
10,10,10,10,10,10,10,10,10,10,1,10,10,9,10,10,10,10,10,11,19,1,0
10,10,10,10,10,10,10,10,10,10,1,10,10,10,10,10,3,10,10,11,17,1,0
10,10,10,10,10,10,10,10,10,10,1,10,10,10,10,10,10,10,10,11,19,3,0
10,10,10,10,10,10,10,10,10,10,2,2,10,10,10,10,10,10,10,11,12,7,0
10,10,10,10,10,10,10,10,10,10,2,3,10,10,10,10,10,10,10,11,12,1,0
10,10,10,10,10,10,10,10,10,10,2,10,2,10,10,10,10,10,10,11,13,2,0
10,10,10,10,10,10,10,10,10,10,2,10,9,9,9,10,10,10,10,11,19,1,0
10,10,10,10,10,10,10,10,10,10,2,10,9,9,10,10,9,10,10,11,19,1,0
10,10,10,10,10,10,10,10,10,10,2,10,9,9,10,10,10,10,10,11,19,1,0
10,10,10,10,10,10,10,10,10,10,2,10,9,10,7,10,10,10,10,11,15,1,0
10,10,10,10,10,10,10,10,10,10,2,10,9,10,9,9,10,10,9,11,19,2,0
10,10,10,10,10,10,10,10,10,10,2,10,9,10,9,9,10,10,10,11,19,1,0
10,10,10,10,10,10,10,10,10,10,2,10,9,10,9,10,10,10,10,11,19,1,0
10,10,10,10,10,10,10,10,10,10,2,10,9,10,10,10,10,9,9,11,19,1,0
